n_rows,n_cols,with_walls,seed,corridor_rows,k_neighbors,n_zones,nodes_A,edges_A,nodes_B,edges_B,M1_A,M1_B,M2,M3,M4_A,M4_B
3,4,False,2,3,3,12,25,30,37,61,1.0,1.0,1.0,0.8861,undefined,undefined
3,4,False,2,3,4,12,25,30,37,73,1.0,1.0,1.0,0.8442,undefined,undefined
3,4,False,3,3,2,12,25,30,37,49,1.0,1.0,1.0,0.9068,undefined,undefined
3,4,False,3,3,3,12,25,30,37,61,1.0,1.0,1.0,0.8861,undefined,undefined
3,4,False,3,3,4,12,25,30,37,73,1.0,1.0,1.0,0.8442,undefined,undefined
3,4,True,1,3,2,12,25,22,37,25,0.3333,0.0833,0.5833,undefined,0.5,0.96
3,4,True,1,3,3,12,25,22,37,25,0.3333,0.0833,0.5833,undefined,0.5,0.96
3,4,True,1,3,4,12,25,22,37,25,0.3333,0.0833,0.5833,undefined,0.5,0.96
3,4,True,2,3,2,12,25,22,37,25,0.3333,0.0833,0.5833,undefined,0.5,0.96
3,4,True,2,3,3,12,25,22,37,25,0.3333,0.0833,0.5833,undefined,0.5,0.96
3,4,True,2,3,4,12,25,22,37,25,0.3333,0.0833,0.5833,undefined,0.5,0.96
3,4,True,3,3,2,12,25,22,37,25,0.3333,0.0833,0.5833,undefined,0.5,0.96
3,4,True,3,3,3,12,25,22,37,25,0.3333,0.0833,0.5833,undefined,0.5,0.96
3,4,True,3,3,4,12,25,22,37,25,0.3333,0.0833,0.5833,undefined,0.5,0.96
3,6,False,1,3,2,18,37,46,55,73,1.0,1.0,1.0,0.9184,undefined,undefined
3,6,False,1,3,3,18,37,46,55,91,1.0,1.0,1.0,0.9071,undefined,undefined
3,6,False,1,3,4,18,37,46,55,109,1.0,1.0,1.0,0.8524,undefined,undefined
3,6,False,2,3,2,18,37,46,55,73,1.0,1.0,1.0,0.9184,undefined,undefined
3,6,False,2,3,3,18,37,46,55,91,1.0,1.0,1.0,0.9071,undefined,undefined
3,6,False,2,3,4,18,37,46,55,109,1.0,1.0,1.0,0.8524,undefined,undefined
3,6,False,3,3,2,18,37,46,55,73,1.0,1.0,1.0,0.9184,undefined,undefined
3,6,False,3,3,3,18,37,46,55,91,1.0,1.0,1.0,0.9071,undefined,undefined
3,6,False,3,3,4,18,37,46,55,109,1.0,1.0,1.0,0.8524,undefined,undefined
3,6,True,1,3,2,18,37,34,55,37,0.3333,0.0556,0.6111,undefined,0.5,0.973
3,6,True,1,3,3,18,37,34,55,37,0.3333,0.0556,0.6111,undefined,0.5,0.973
3,6,True,1,3,4,18,37,34,55,37,0.3333,0.0556,0.6111,undefined,0.5,0.973
3,6,True,2,3,2,18,37,34,55,37,0.3333,0.0556,0.6111,undefined,0.5,0.973
3,6,True,2,3,3,18,37,34,55,37,0.3333,0.0556,0.6111,undefined,0.5,0.973
3,6,True,2,3,4,18,37,34,55,37,0.3333,0.0556,0.6111,undefined,0.5,0.973
3,6,True,3,3,2,18,37,34,55,37,0.3333,0.0556,0.6111,undefined,0.5,0.973
3,6,True,3,3,3,18,37,34,55,37,0.3333,0.0556,0.6111,undefined,0.5,0.973
3,6,True,3,3,4,18,37,34,55,37,0.3333,0.0556,0.6111,undefined,0.5,0.973
4,2,False,1,3,2,8,15,16,25,33,1.0,1.0,1.0,0.881,undefined,undefined
4,2,False,1,3,3,8,15,16,25,41,1.0,1.0,1.0,0.8268,undefined,undefined
4,2,False,1,3,4,8,15,16,25,49,1.0,1.0,1.0,0.8268,undefined,undefined
4,2,False,2,3,2,8,15,16,25,33,1.0,1.0,1.0,0.881,undefined,undefined
4,2,False,2,3,3,8,15,16,25,41,1.0,1.0,1.0,0.8268,undefined,undefined
4,2,False,2,3,4,8,15,16,25,49,1.0,1.0,1.0,0.8268,undefined,undefined
